Chandrashekhar Patil Stadium, Kalaburgi | Basketball | Active: True | Logic: independent
Rush Arena Railways | Cricket Nets | Active: True | Logic: divisible
Rush Arena Railways | Football - Railways | Active: False | Logic: divisible
Rush Arena Railways | Main Turf (Football / Box Cricket) | Active: True | Logic: divisible
Rush Arena Railways | Nets - Railways | Active: False | Logic: independent
Rush Arena Railways | Volleyball - Rush Arena Railways | Active: False | Logic: independent
Rush Arena Railways | Volleyball Court | Active: True | Logic: independent
Rush Arena x Grid Game | 5 a side (1 turf) Football - Grid Game | Active: False | Logic: divisible
Rush Arena x Grid Game | Main Turf (Football / Box Cricket) | Active: True | Logic: divisible
Rush Arena x Hotfut - South United GVH | Main Turf (Football / Box Cricket / Frisbee) | Active: False | Logic: divisible
Rush Arena x Hotfut - South United GVH | Main Turf (Football / Box Cricket / Frisbee) | Active: True | Logic: divisible
Rush Arena X KheloMore GT Mall | Football - KheloMore GT Mall | Active: False | Logic: independent
Rush Arena X KheloMore GT Mall | Football / Football / Box Cricket - Khelomore GT Mall | Active: True | Logic: divisible
Rush x Ace Arena - Hesaraghatta Main Road | Badminton | Active: True | Logic: divisible
Rush x Ace Arena - Hesaraghatta Main Road | Badminton - Hesaraghatta | Active: False | Logic: independent
Rush x Ace Arena - Hesaraghatta Main Road | Cricket Nets | Active: True | Logic: divisible
Rush x Ace Arena - Hesaraghatta Main Road | Cricket Nets - Hesaraghatta | Active: False | Logic: independent
Rush x Ace Arena - Hesaraghatta Main Road | Squash | Active: True | Logic: independent
Rush x Ace Arena - Hesaraghatta Main Road | Squash Wooden - Hesaraghatta | Active: False | Logic: independent
Rush x Ace Arena - Hesaraghatta Main Road | Swimming - Hesaraghatta | Active: False | Logic: independent
Rush x Ace Arena - Hesaraghatta Main Road | Swimming Pool | Active: True | Logic: capacity
Rush x Ace Arena - Hesaraghatta Main Road | Table Tennis | Active: True | Logic: divisible
Rush x Ace Arena - Hesaraghatta Main Road | Table Tennis - Hesaraghatta | Active: False | Logic: independent
